Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,latitude,longitude
1/1/2013,3,20.2,26.2,0,11,10.9,30,9,19,70,68,1012,1008.6,6,3,23.2,24.1,No,No,-33.8607,151.205
1/2/2013,3,20.3,22.9,0,7.4,0.9,52,17,24,70,61,1013.8,1015.1,7,7,21.8,21.1,No,No,-33.8607,151.205
1/3/2013,3,18.4,24.8,0,5.6,12.4,30,7,19,54,54,1018.8,1016.6,4,1,21.8,23.5,No,No,-33.8607,151.205
1/4/2013,3,18.3,26.6,0,9,13.1,52,17,26,59,60,1016.7,1014.1,1,0,24.4,24.8,No,No,-33.8607,151.205
1/5/2013,3,20.9,28.3,0,9.6,12.7,52,9,17,56,56,1016.1,1014.3,0,1,25.2,27.2,No,No,-33.8607,151.205
1/6/2013,3,21.6,28,0,11.6,13.1,33,13,20,65,56,1021,1019.7,3,1,25.6,27,No,No,-33.8607,151.205
1/7/2013,3,21.4,27.5,0,8,9,46,9,20,74,65,1022.5,1018.4,8,1,23.2,25.9,No,No,-33.8607,151.205
1/8/2013,3,20.9,42.3,0,9.8,8.7,69,4,28,52,14,1005.8,999.1,6,6,27.3,39.8,No,No,-33.8607,151.205
1/9/2013,3,21.1,25,0,18.4,6.1,50,24,28,64,44,999.3,1002.1,6,6,22.5,21.7,No,No,-33.8607,151.205
1/10/2013,3,20.2,25.4,0,8.4,1.4,37,17,24,63,54,1009.7,1009.6,7,7,22.3,24.3,No,No,-33.8607,151.205
1/11/2013,3,21.2,29.6,0,6.2,10,43,4,15,62,59,1010.1,1005.5,3,5,25,27.3,No,No,-33.8607,151.205
1/12/2013,3,23.5,31.2,0,9.6,1.5,56,13,26,53,50,1005.8,1006.7,6,7,29.4,28.1,No,No,-33.8607,151.205
1/13/2013,3,20.7,23.8,0,6.2,0,56,13,19,71,77,1011.5,1008.5,8,7,22.4,22.2,No,Yes,-33.8607,151.205
1/14/2013,3,17.1,23.7,8.6,2,9.4,59,17,28,69,49,1015.2,1017.5,7,2,18.8,22.2,Yes,No,-33.8607,151.205
1/15/2013,3,16.8,24.9,0.2,9.8,10.8,41,6,17,62,53,1019.4,1016.7,3,3,20.5,23.1,No,No,-33.8607,151.205
1/16/2013,3,19.1,27.2,0,6.6,11.4,31,7,24,64,65,1014.6,1011.8,3,4,23.2,24.9,No,No,-33.8607,151.205
1/17/2013,3,21.4,29,0,8.2,12.1,41,2,26,75,67,1012.5,1007.9,5,1,24.3,26.5,No,No,-33.8607,151.205
1/18/2013,3,21.7,45.8,0,9,8.4,78,13,15,62,14,1002.9,997.9,0,3,28.9,44.7,No,No,-33.8607,151.205
1/19/2013,3,21.5,24.8,0,12.6,2.3,50,19,20,65,59,1013.2,1013.8,6,8,22.7,22.4,No,No,-33.8607,151.205
1/20/2013,3,20.2,24.3,0.2,5,0,28,13,15,67,59,1017.3,1016.1,7,8,22.3,23.6,No,No,-33.8607,151.205
